"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Comparative Analysis of OCR Models for Key Information Extraction from Invoices","A. S. Shiva; V. C. Paasam; N. Meghana; Y. Vijayalata","Artificial Intelligence and Data Science, Vardhaman College of Engineering, Hyderabad, India; Artificial Intelligence and Data Science, Vardhaman College of Engineering, Hyderabad, India; Artificial Intelligence and Data Science, Vardhaman College of Engineering, Hyderabad, India; Computer Science and Engineering, Vardhman College of Engineering, Hyderabad, India",2025 Artificial Intelligence and Smart Technologies for Sustainability Conference (AISTS),"17 Nov 2025","2025","","","1","6","Extracting structured data from scanned invoices is a growing need across digital operations. Traditional OCR (Optical Character Recognition) systems, although widely used, often fail to extract text cleanly and meaningfully in noisy or skewed images. This research presents a preprocessing-enhanced OCR pipeline, combined with a Named Entity Recognition (NER) model, to benchmark OCR accuracy based on downstream tasks. Using EasyOCR, PyTesseract, and PaddleOCR, we evaluate precision, recall, and F1-score through a fine-tuned RoBERTa token classifier. PaddleOCR achieved the highest F1-score of 0.958, outperforming the rest. Our work proposes an efficient method to evaluate OCR outputs not only on text accuracy but also on their ability to extract semantic information—a practical perspective for real-world automation systems.","","979-8-3315-9852-5","10.1109/AISTS66100.2025.11232602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232602","OCR;Token Classification;Invoice Automation;RoBERTa;NER;Deep Learning;EasyOCR;PaddleOCR;Financial Metadata Extraction;Natural Language Processing;Transformer Models;Real-world Document Processing;Handwritten Receipts;Financial Automation","Analytical models;Automation;Accuracy;Optical character recognition;Semantics;Pipelines;Transformers;Data mining;Noise measurement;Sustainable development","","2","","14","IEEE","17 Nov 2025","21-23 Aug. 2025","21-23 Aug. 2025","IEEE","IEEE Conferences"
"MC-OCR Challenge 2021: Towards Document Understanding for Unconstrained Mobile-Captured Vietnamese Receipts","H. V. Nguyen; L. Bao Doan; H. V. Trinh; H. Huy Phan; T. M. Thanh","R&D Lab, Sun Asterisk Inc.; R&D Lab, Sun Asterisk Inc.; R&D Lab, Sun Asterisk Inc.; R&D Lab, Sun Asterisk Inc.; R&D Lab, Sun Asterisk Inc.",2021 RIVF International Conference on Computing and Communication Technologies (RIVF),"21 Dec 2021","2021","","","1","5","The Mobile capture receipts Optical Character Recognition (MC-OCR) [14] challenge deliver two tasks: Receipt Image Quality Evaluation and Key Information Extraction. In the first task, we introduce a regression model to map various inputs, for instance the probability of the output OCR, cropped text boxes, images to actual label. In the second task, we propose a stacked multi-model as a solution to solve this problem. The robust models are incorporated by image segmentation, image classification, text detection, text recognition, and text classification. Follow this solution, we can get vital tackle various noise receipt types: horizontal, skew, and blur receipt.","2162-786X","978-1-6654-0435-8","10.1109/RIVF51545.2021.9642126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9642126","Information Extraction;Optical Character Recognition - OCR;Image Quality Assessment","Image quality;Image segmentation;Text recognition;Text categorization;Optical imaging;Information retrieval;Quality assessment","","4","","17","IEEE","21 Dec 2021","19-21 Aug. 2021","19-21 Aug. 2021","IEEE","IEEE Conferences"
"Design and Application of Electronic Invoice Information Systems using Rule-Based Model View Controller Framework with YOLOV8 Model","X. Wang; H. Chen; X. Zeng; J. Liu; X. Fang","State Grid Fujian Marketing Service, Center (Metering Center and Integrated Capital Center), Fuzhou, China; State Grid Fujian Information & Telecommunication Company, Fuzhou, China; State Grid Fujian Marketing Service, Center (Metering Center and Integrated Capital Center), Fuzhou, China; State Grid Fujian Marketing Service, Center (Metering Center and Integrated Capital Center), Fuzhou, China; State Grid Fujian Marketing Service, Center (Metering Center and Integrated Capital Center), Fuzhou, China","2025 International Conference on Communication, Computer, and Information Technology (IC3IT)","22 Jan 2026","2025","","","1","6","In recent years, the automation of invoice processing is essential for modern enterprises to enhance operational efficiency, reduce manual errors, and ensure regulatory compliance. However, existing simple Rule-based Enterprise Resource Planning (ERP) model often suffers from rigid rule definitions, poor adaptability to various invoice structures, and challenges integrating into a poorly designed workflow. To overcome these limitations, this research proposed an Electronic Invoice Information System (EIIS) using Rulebased Model View Controller (MVC) framework. Initially, the data collected from multiple source such as scanned documents, vendor emails, and ERP systems information. Then, proposed with Optical Character Recognition (OCR) which extract textual data from image-based invoices, while Natural Language Processing (NLP) technique is used to structure, tokenize and normalize invoice fields for downstream automation. The You Only Look Once version-8 (YOLOv8) model is integrated for detection and classification of Purchase Order (PO) and non-PO invoices. The MVC architecture separates data handling (Model), workflow logic (Controller), and user interfaces (View). Finally, Rule-based automation performed validation, approval, and payment actions follow logistic policies with tax regulations. Experimental evaluation demonstrates that the proposed Rule-based MVC framework achieved automation rate of 89% when compared with existing simple Rule-based ERP model.","","979-8-3315-2483-8","10.1109/IC3IT66137.2025.11341366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11341366","automation;electronic invoice information systems;payment actions;purchase order;rule-based model view controller","YOLO;Adaptation models;Automation;Computational modeling;Optical character recognition;Computer architecture;Natural language processing;Electronic mail;Logic;Information systems","","1","","15","IEEE","22 Jan 2026","24-25 Oct. 2025","24-25 Oct. 2025","IEEE","IEEE Conferences"
"CyberChain: Enhancing Document Security with Blockchain and AI","D. A; S. Faiz; T. A. A; S. D M; M. A","Dept. of AI and DS, S J C Institute of Technology, Chickaballapur, India; Dept. of AI and DS, S J C Institute of Technology, Chickaballapur, India; Dept. of AI and DS, S J C Institute of Technology, Chickaballapur, India; Dept. of AI and DS, S J C Institute of Technology, Chickaballapur, India; Dept. of AI and DS, S J C Institute of Technology, Chickaballapur, India",2026 4th International Conference on Knowledge Engineering and Communication Systems (ICKECS),"26 May 2026","2026","","","1","3","Digital documentation systems face critical challenges in authenticity verification and tamper detection. Traditional centralized approaches lack cryptographic validation and remain vulnerable to sophisticated forgery. This paper presents CyberChain, an intelligent security framework integrating blockchain-inspired hash chaining with AI-driven document classification. The system employs OCR for text extraction, transformer models for semantic categorization, and AES-256 encryption for confidential storage. Each document receives a SHA-256 cryptographic fingerprint, creating immutable verification trails. Implementation demonstrates successful classification across certificates, reports, IDs, and invoices with 87 percent confidence, while offline architecture eliminates cloud dependency and ensures data sovereignty.","","979-8-3315-4777-6","10.1109/ICKECS70176.2026.11528085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11528085","Document security;Blockchain hashing;AI classification;OCR;AES encryption;Tamper detection;Offline verification;Authentication;LLM.Introduction","Artificial intelligence;Modeling;Printing;Security;Encryption;Optical character recognition;Computer security;Electronic mail","","","","15","IEEE","26 May 2026","24-25 April 2026","24-25 April 2026","IEEE","IEEE Conferences"
"AI-Powered Document Analyzer","L. S; M. S; A. T K; D. M; H. S","Department of Information Technology, M. Kumarasamy College of Engineering, Karur, India; Department of Information Technology, M. Kumarasamy College of Engineering, Karur, India; Department of Information Technology, M. Kumarasamy College of Engineering, Karur, India; Department of Information Technology, M. Kumarasamy College of Engineering, Karur, India; Department of Information Technology, M. Kumarasamy College of Engineering, Karur, India",2026 6th International Conference on Expert Clouds and Applications (ICOECA),"23 Apr 2026","2026","","","1801","1806","The explosion of unstructured digital documents has rendered manual document processing not only inefficient but also hardly scalable. Different types of documents with diverse structures and qualities continue to come from organizations, making it even more challenging for them to accurately classify and extract information from these documents. To solve this issue, the paper proposes an AI- Powered Document Analyzer that combines Optical Character Recognition (OCR) with transformer, based Natural Language Processing (NLP) models to perform end, to, end document analysis. The suggested solution is tested through a mix of public and custom datasets of academic papers, invoices, and reports. The study of performance is done through accuracy, precision, recall, F1, score, and processing latency. Experimental data show that the LayoutLM model has reached a classification accuracy of 97.4% and an F1 score of 96.9%, thereby surpassing traditional machine learning methods as well as text-only transformer models. The results suggest that integrating layout and textual information enhances document comprehension and thus can be effectively used at scale for digital archiving, enterprise document management, and document verification applications.","","979-8-3315-7451-2","10.1109/ICOECA68095.2026.11485528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11485528","document analysis;natural language processing;deep learning;transformer models;optical character recognition;artificial intelligence;information extraction","Feeds;Radio access networks;Regional area networks;Protocols;HTTP;Communication systems;Telecommunications;Artificial intelligence;Convolutional neural networks;Learning (artificial intelligence)","","","","15","IEEE","23 Apr 2026","9-11 March 2026","9-11 March 2026","IEEE","IEEE Conferences"
"AI-Powered Smart Document Classification for Automated Document Management Systems","S. Uma; S. Ramya; S. Naveenkumar; R. V. Ragav","Computer Science and Engineering, Rajalakshmi Institute of Technology, Chennai, India; Computer Science and Engineering, Rajalakshmi Institute of Technology, Chennai, India; Computer Science and Engineering, Rajalakshmi Institute of Technology, Chennai, India; Computer Science and Engineering, Rajalakshmi Institute of Technology, Chennai, India",2026 International Conference on Electronic Systems and Intelligent Computing (ICESIC),"5 May 2026","2026","","","843","847","The high rate of growth of digital information has accelerated the demand for automated methods of sorting and categorizing the high volumes of documents. Manual processes are slow, prone to errors and cannot be used in various types like PDFs, scanned documents and structured reports. This paper proposes a document classification system, which is an artificial intelligence-based application, that combines Optical Character Recognition (OCR), Natural Language Processing (NLP), and machine learning to automate the process of document understanding and classification. Direct parsing and OCR pipelines are used to extract the text, and then preprocessing and TF-IDF based feature generation take place. Several classification algorithms, such as Support Vector Machines (SVM), Naive Bayes, Random Forest, and Logistic Regression, were tested, but the last one was chosen due to its speed, interpretability, and high accuracy on mid-sized textual data. Summarization, invoice field extraction, email-based ingestion and asynchronous background processing are also included in the system so that economical automation of workflow can be done practically. Future directions involve the use of Transformer-based language models to provide more detailed semantic meaning, multilingual OCR, resume classification as well as embedding based semantic search. The results show that the joint application of OCR, NLP, and ML methods presents a precise and extensive method of smart document classification, and auto-document handling.","","979-8-3195-2017-3","10.1109/ICESIC67389.2026.11496472","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11496472","Document Classification;Machine Learning;NLP;OCR;Logistic Regression;Automation;Semantic Search","Feeds;Antennas;Filtering;Filters;Circuits and systems;Electronic mail;Telecommunications;Protocols;Communication systems;Radio access networks","","","","15","IEEE","5 May 2026","13-14 March 2026","13-14 March 2026","IEEE","IEEE Conferences"
"A Framework for Providing Structured Invoice Document using Optimized Bert Enabled Deep Convolutional Neural Network Classifier","P. D. Kulkarni; V. Deshmukh; K. P. Rane","Electrical KCE COEM JALGAON; Electronics Engineering SSBT’s College of Engineering and Technology, Jalgaon; Bharati Vidyapeeth College of Engineering, Navi Mumbai, India","2023 7th International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)","26 Oct 2023","2023","","","717","725","Given the context of the COVID-19 pandemic, the efficient processing and management of COVID-19-related invoice documents have become crucial. These documents may contain critical information related to healthcare, supplies, and services provided during the pandemic. Ensuring accurate and efficient handling of such documents is essential for healthcare organizations, government agencies, and businesses involved in pandemic response. To address these challenges and streamline the invoice processing workflow, the framework known as Quash Hunt Optimization with Bidirectional Encoder Representations from Transformers-enabled Deep Convolutional Neural Network (QHtO-BERT enabled Deep CNN) is proposed that leverages the power of BERT, to capture semantic information from invoice text. Google Optical Character Recognition (OCR) is an advanced technology developed by Google, enabling the retrieval of text from images or scanned documents. The process of text annotation using Named Entity Recognition (NER) involves the task of recognizing and categorizing named entities existing within a provided text. The BERT-based approach significantly improves semantic understanding, while the optimized DCNN ensures feature extraction and classification tasks. The model's accuracy is elevated by harnessing the Hunting and Escaping characteristics within the QHtO algorithm. The performance of the QHtO-BERT-enabled Deep CNN method concerning accuracy, sensitivity, and, specificity stands at 94.7%, 95.92%, and 95.02%, respectively.","2768-0673","979-8-3503-4148-5","10.1109/I-SMAC58438.2023.10290498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10290498","Invoice documents;BERT enabled Deep CNN;Google OCR;and Named Entity Recognition","COVID-19;Pandemics;Text recognition;Semantics;Optical character recognition;Medical services;Sensitivity and specificity","","1","","23","IEEE","26 Oct 2023","11-13 Oct. 2023","11-13 Oct. 2023","IEEE","IEEE Conferences"
"Spatial-Aware Financial Document Understanding: A Region-Segmented OCR-LLM Pipeline with Layout-Encoded Prompting for Key-Value Extraction","L. R. Gandikota; V. R. S. Gudipati; S. K. Aluvala; S. Ponugoti; S. T. R. Konda","Verizon, Prosper, USA; Remington University, Lafayette, USA; HCL Tech, Prosper, USA; Publicis Groupe, Celina, USA; Verizon, Dallas, USA",2026 IEEE International Conference on Electro Information Technology (eIT),"7 Sep 2026","2026","","","144","149","Financial document digitization remains a critical bottleneck in enterprise workflows, where invoices, receipts, and purchase orders must be accurately parsed into structured data for downstream accounting and analytics systems. Existing OCR-to-LLM pipelines typically process entire document pages as flat text streams, discarding the spatial layout information that is essential for disambiguating semantically overloaded fields in financial documents. In this paper, we propose a Spatial-Aware Document Understanding (SADU) framework that introduces a region-segmented OCR strategy coupled with a novel layout-encoded prompting mechanism for Large Language Models. Our pipeline employs PyMuPDF for PDF rendering, OpenCV-based contour analysis for semantic region segmentation into five document zones (Header, Metadata, Line Items, Totals, and Footer), Tesseract OCR applied independently per region, and a fine-tuned Gemma-2B model that receives spatially tagged OCR output for structured key-value extraction. We evaluate our approach on three publicly available benchmark datasets: ICDAR 2019 SROIE, CORD, and a filtered subset of RVL-CDIP. Experimental results demonstrate that the proposed SADU framework achieves an F1-score of 94.2% on SROIE key information extraction, representing a 4.8% improvement over flat-text OCR-LLM baselines. Comprehensive ablation studies confirm that both region-segmented OCR and layout-encoded prompting contribute independently and synergistically to the observed performance gains. The framework processes documents at an average latency of 1.87 seconds per page on consumer-grade GPU hardware, demonstrating practical viability for real-time enterprise deployment.","2154-0373","979-8-3315-6026-3","10.1109/eIT68936.2026.11670412","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11670412","Financial Document Understanding;OCR;Large Language Models;Layout-Encoded Prompting;Region Segmentation;Key Information Extraction;Spatial-Aware AI","Modeling;Optical character recognition;Layout;Large language models;Printing;Pipelines;Training;Encoding;Testing;Labeling","","","","16","IEEE","7 Sep 2026","21-23 May 2026","21-23 May 2026","IEEE","IEEE Conferences"
"AI Shredder: OCR and BERT-Driven Intelligent Document Redaction with Security Classification","S. Godbole; R. Bhabire; Y. Gavali; P. Shende; P. Pandit; A. Yenkikar","Department of Computer Science & Engineering (Artificial Intelligence), Vishwakarma Institute of Information Technology, Pune, India; Department of Computer Science & Engineering (Artificial Intelligence), Vishwakarma Institute of Information Technology, Pune, India; Department of Computer Science & Engineering (Artificial Intelligence), Vishwakarma Institute of Information Technology, Pune, India; Department of Computer Science & Engineering (Artificial Intelligence), Vishwakarma Institute of Information Technology, Pune, India; Department of Computer Science & Engineering (Artificial Intelligence), Vishwakarma Institute of Technology, Pune, India; Department of Computer Science & Engineering (Artificial Intelligence), Vishwakarma Institute of Technology, Pune, India",2026 International Conference on Emerging Smart Computing and Informatics (ESCI),"28 Apr 2026","2026","","","1","7","In enterprise, healthcare and legal sectors, secure document management is highly important. Manual redaction and masking by keywords are tedious and lack situational sensitivities. We introduce AI Shredder, the first combination of deep learning code that is built on top of an Optical Character Recognition (OCR), Regex patterns matching, Named Entities Recognition (NER), and transformed by BERT based networks into one unified pipeline. The new addition is a coherent combination of various detection modalities (OCR+ Regex structured entities; BERT contextual PII) with a risk-scoring system that allows making a clear classification by the level of risk: Low Confidentiality (risk score 0.35 or below), High Confidentiality (0.35 to 0.70), and Top Secret (0.70 and over). This justifiable method is in contrast to closed-box redaction systems. The system was tested on 2000 manually annotated RVLCDIP document images (125 per class, 4,847 entity-level annotations) with a accuracy of 79.65 and F1-score of 0.7940 and security-level agreement of 94.2% (Kappa: 0.91). Per-category analysis demonstrates good results with the structured documents (forms: 86.36, invoices: 86.79, budgets: 87.12) and indicates difficulties with the handwritten material (64.94%). The modular architecture is auditable with detailed redaction logs and can be used as a tool to meet the requirements of GDPR/HIPAA.","2996-1815","979-8-3315-8949-3","10.1109/ESCI68015.2026.11493218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11493218","Document redaction;Deep learning;Optical Character Recognition;Bidirectional Encoder Representations from Transformers;Named Entity Recognition;Data privacy;Document classification","Feedback;Circuits;Electronic mail;Protocols;Communication systems;Message systems;HTTP;Postal services;Internet;Pixel","","","","14","IEEE","28 Apr 2026","11-13 March 2026","11-13 March 2026","IEEE","IEEE Conferences"
"Cheque Information Processing and Validation using Deep Learning","S. K; D. N. Shenoy","School of Electronics Engineering, Vellore Institute of Technology, Chennai; School of Electronics Engineering, Vellore Institute of Technology, Chennai",2024 Global Conference on Communications and Information Technologies (GCCIT),"6 Feb 2025","2024","","","1","6","Understanding document images, such as invoices, is a difficult task. It necessitates reading the text as well as comprehending the document’s general structure. Conventional techniques first extract text using Optical Character Recognition (OCR), yet this method has drawbacks. In addition to being computationally costly, OCR can have trouble converting between various languages and document formats and introduce errors that can compound throughout the analysis process.Donut is an OCR-free VDU (Visual Document Understanding) model that challenges this paradigm. It does not even bother with the text extraction stage; it analyzes the document image straight. This creative strategy produces notable advancements. Donut performs at the cutting edge, which means it is quick and precise. This is a significant development in the realm of visual document understanding since it enables Donut to handle a greater variety of languages and document types. The model has been tested using BLEU scores and ROUGE scores over 3 parameters namely – payee name, amount in words and amount in figure. The model has also been tested over variety of sample sizes ranging from 50 to 1000.","","979-8-3503-8891-6","10.1109/GCCIT63234.2024.10862133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10862133","Visual Document Understanding;Document Information Extraction;Optical Character Recognition;BLEU score;ROUGE score","Training;Productivity;Visualization;Target recognition;Optical character recognition;Transforms;Streaming media;Multilingual;Data mining;Testing","","1","","12","IEEE","6 Feb 2025","25-26 Oct. 2024","25-26 Oct. 2024","IEEE","IEEE Conferences"
